bank,review,rating,date,source,sentiment_label,sentiment_score,themes
CBE,A great app. It's like carrying a bank in your pocket.,4,2025-06-07,Google Play,POSITIVE,0.9992928504943848,Other
CBE,More than garrantty bank EBC.,4,2025-06-07,Google Play,POSITIVE,0.9971959590911865,Other
CBE,really am happy to this app it is Siple to use everything,5,2025-06-07,Google Play,POSITIVE,0.9988697171211243,Other
CBE,I liked this app. But the User interface is very basic and not attractive at all.,2,2025-06-07,Google Play,NEGATIVE,0.9996840953826904,Other
CBE,"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",4,2025-06-06,Google Play,NEGATIVE,0.9964652061462402,Other
CBE,what is this app problem???,1,2025-06-05,Google Play,NEGATIVE,0.9996225833892822,Other
CBE,the app is proactive and a good connections.,5,2025-06-05,Google Play,POSITIVE,0.9998679161071777,Other
CBE,I cannot send to cbebirr app. through this app.,3,2025-06-05,Google Play,NEGATIVE,0.9953354001045227,Other
CBE,good,4,2025-06-05,Google Play,POSITIVE,0.9998161196708679,Other
CBE,not functional,1,2025-06-05,Google Play,NEGATIVE,0.999778687953949,Other
CBE,"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04,Google Play,NEGATIVE,0.9905162453651428,Other
CBE,አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,4,2025-06-04,Google Play,NEGATIVE,0.9616847634315491,Other
CBE,best,5,2025-06-04,Google Play,POSITIVE,0.9997941851615906,Other
CBE,bezabih,5,2025-06-04,Google Play,POSITIVE,0.9654072523117065,Other
CBE,Best Mobile Banking app ever,5,2025-06-04,Google Play,POSITIVE,0.9997294545173645,Other
